StreetNumber,StreetName,City,StateOrProvince,CountyOrParish,PostalCode,ClosePrice,ElementarySchool,MiddleSchool,HighSchool,SubdComplex,Stories,UpperBedrooms,UpperFullBaths,UpperHalfBaths,MainBedrooms,MainFullBaths,MainHalfBaths,LowerBedrooms,LowerFullBaths,LowerHalfBaths,ParkingDesc,BasementDesc,FireplacesNum,PoolonProperty,YearBuilt,Exterior,SqFtTotal,AssociationFee,CloseDate,CDOM
1804,Marlbrook,Atlanta,Georgia,Dekalb,30307,869000,Lin,Inman,Grady,Lake Claire,2 Stories,4,3,0,0,0,1,0,0,1,"2 Car Garage, Attached, Auto Garage Door, Side/Rear Entry","Bath, Daylight, Driveway Access, Exterior Entry, Finished, Full",3,None,2005,"Deck, Fenced Yard, Front Porch, Garden Area, Other, Outdoor Fireplace, Patio, Prof Landscaping",3656,0,5/23/2014,3
472,Harold,Atlanta,Georgia,Dekalb,30307,864700,Lin,Inman,Grady,Lake Claire,2 Or + Stories,4,3,0,1,1,0,1,1,0,2 Car Garage,"Bath, Daylight, Exterior Entry, Finished, Full, Interior Entry",1,None,2014,"Deck, Front Porch, Other",0,0,4/24/2015,120
366,Southerland,Atlanta,Georgia,Dekalb,30307,855000,Lin,Inman,Grady,Lake Claire,2 Stories,4,3,0,1,1,0,0,0,0,"2 Car Garage, Detached, Driveway, Parking Pad",Slab/None,1,None,1920,"Deck, Fenced Yard, Front Porch, Prof Landscaping",3148,0,6/3/2015,6
316,Sutherland,Atlanta,Georgia,Dekalb,30307,854000,Lin,Inman,Grady,Lake Claire/Sutherland Place,2 Stories,3,2,0,1,0,1,2,2,0,"3 Car Garage, Attached, Auto Garage Door","Bath, Daylight, Finished, Full, Interior Entry",1,None,2004,"Carriage House, Deck, Fenced Yard, Front Porch, Garden Area",4595,0,10/19/2015,19
358,Southerland,Atlanta,Georgia,Dekalb,30307,850350,Lin,Inman,Grady,Lake Claire,2 Stories,4,3,0,1,1,0,0,0,0,"2 Car Garage, Detached, Driveway, Parking Pad",Crawl Space,1,None,1920,Patio,3328,0,6/1/2015,74
1355,Hooper,Atlanta,Georgia,Dekalb,30307,849900,Lin,Inman,Grady,Candler Park,2 Stories,4,3,0,0,0,1,1,1,0,"2 Car Garage, Attached, Auto Garage Door, Drive Under Main Level","Bath, Daylight, Driveway Access, Finished, Interior Entry",1,None,2014,"Deck, Fenced Yard, Front Porch, Prof Landscaping",4014,0,5/15/2015,107
1718,Adolphus,Atlanta,Georgia,Dekalb,30307,839000,Lin,Inman,Grady,Lake Claire,2 Stories,4,3,0,2,1,1,0,0,0,"2 Car Garage, Attached, Drive Under Main Level, Driveway","Driveway Access, Partial, Unfinished",0,None,2015,"Deck, Fenced Yard, Front Porch",3706,0,12/3/2015,66
421,Hardendorf,Atlanta,Georgia,Dekalb,30307,836500,Lin,Inman,Grady,Lake Claire,2 Or + Stories,3,2,0,1,1,0,1,1,0,2 Car Garage,"Daylight, Finished, Full",1,None,2014,"Deck, Fenced Yard, Front Porch, Garden Area, Irrigation System, Prof Landscaping",3847,0,12/26/2014,101
415,Oakdale,Atlanta,Georgia,Dekalb,30307,836000,Lin,Inman,Grady,Candler Park,2 Stories,4,2,0,1,1,0,0,0,0,"2 Car Garage, Auto Garage Door, Detached",Crawl Space,2,None,2004,"Deck, Fenced Yard, Front Porch, Garden Area, Hot Tub/Spa, Prof Landscaping",2896,0,11/10/2015,30
1371,Hooper,Atlanta,Georgia,Dekalb,30307,835000,Lin,Inman,Grady,Candler Park,2 Or + Stories,4,4,0,0,0,1,1,1,0,"2 Car Garage, Drive Under Main Level","Daylight, Finished",1,None,2007,"Deck, Front Porch, Garden Area, Irrigation System, Prof Landscaping",3258,,9/11/2012,200
1703,McLendon,Atlanta,Georgia,Dekalb,30307,828000,Lin,Inman,Grady,Lake Claire,2 Or + Stories,4,3,0,1,1,0,0,0,0,"2 Car Garage, Attached, Auto Garage Door, Driveway","Exterior Entry, Finished, Interior Entry, Partial, Unfinished",3,None,1925,"Front Porch, Prof Landscaping, Other",3200,0,9/22/2015,70
1260,McLendon,Atlanta,Georgia,Dekalb,30307,828000,Lin,Inman,Grady,Candler Park,2 Or + Stories,4,2,0,0,0,1,0,0,0,"Driveway, Parking Pad","Bath/Stubbed, Daylight, Exterior Entry, Full, Interior Entry, Unfinished",3,None,1910,"Deck, Fenced Yard, Front Porch, Prof Landscaping, Other, Patio",3442,0,7/7/2016,7
1842,Marlbrook,Atlanta,Georgia,Dekalb,30307,825000,Lin,Inman,Grady,Lake Claire,2 Or + Stories,3,2,0,1,1,1,1,1,0,"2 Car Garage, Auto Garage Door, Drive Under Main Level, Storage Room","Bath, Daylight, Driveway Access, Exterior Entry, Finished, Interior Entry",2,None,2008,"Fenced Yard, Front Porch, Gas Grill, Irrigation System, Prof Landscaping",4977,,10/1/2013,47
273,Mathews,Atlanta,Georgia,Dekalb,30307,825000,Lin,Inman,Grady,Lake Claire,2 Stories,3,3,0,1,1,1,1,1,0,"2 Car Garage, Detached, Driveway, Side/Rear Entry",Slab/None,1,None,2013,"1-2 Step Entry, Carriage House, Deck, Fenced Yard, Front Porch, Guest House, Patio, Prof Landscaping",3000,0,6/29/2016,2
366,Sutherland,Atlanta,Georgia,Dekalb,30307,820000,Lin,Inman,Grady,Lake Claire Sutherland Place,2 Or + Stories,3,2,0,0,0,1,1,1,0,"2 Car Garage, Attached, Auto Garage Door","Bath, Daylight, Exterior Entry, Finished, Full, Interior Entry",1,"Gunite, Heated Pool, In Ground",2003,"Deck, Fenced Yard, Front Porch, Garden Area, Hot Tub/Spa, Irrigation System, Other, Pool Screened/Enclosed, Prof Landscaping",3335,,12/4/2013,2
1302,Euclid,Atlanta,Georgia,Dekalb,30307,820000,Lin,Inman,Grady,Candler Park,2 Or + Stories,4,2,0,1,1,0,0,1,0,"2 Car Garage, Detached",Slab/None,2,None,2005,"Deck, Fenced Yard, Front Porch, Garden Area, Other, Prof Landscaping, Wrap-Around Porch",3300,0,9/15/2014,100
1842,Marlbrook,Atlanta,Georgia,Dekalb,30307,819000,Lin,Inman,Grady,Lake Claire,2 Or + Stories,3,2,0,1,1,1,1,1,0,"2 Car Garage, Drive Under Main Level","Bath, Daylight, Driveway Access, Exterior Entry, Finished, Interior Entry",3,None,2009,"1-2 Step Entry, Deck, Fenced Yard, Front Porch, Garden Area",3971,0,3/20/2015,50
331,Candler Park,Atlanta,Georgia,Dekalb,30307,815000,Lin,Inman,Grady,Candler Park,2 Stories,3,2,0,2,2,1,0,0,0,"2 Car Garage, Detached, Driveway, Side/Rear Entry",Crawl Space,1,None,2012,"Deck, Front Porch, Garden Area, Prof Landscaping",0,0,4/5/2013,155
539,Terrace,Atlanta,Georgia,Dekalb,30307,810000,Lin,Inman,Grady,Candler Park Lake Claire,2 Or + Stories,3,3,0,1,1,1,0,0,0,"Driveway, Parking Pad, Street","Full, Interior Entry",1,None,2009,"Deck, Front Porch, Other, Patio",4000,0,10/30/2012,105
445,Harold,Atlanta,Georgia,Dekalb,30307,809000,Lin,Inman,Grady,Lake Claire Candler Park,2 Or + Stories,3,2,0,1,1,1,1,1,0,"1-2 Step Entry, 2 Car Garage, Auto Garage Door, Driveway","Bath, Daylight, Driveway Access, Exterior Entry, Finished, Interior Entry",2,None,2006,"Deck, Fenced Yard, Front Porch, Garden Area, Other, Patio, Prof Landscaping",5031,0,2/4/2013,90
429,Claire,Atlanta,Georgia,Dekalb,30307,806850,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,1,0,0,0,"2 Car Garage, Attached, Driveway, Side/Rear Entry","Exterior Entry, Interior Entry, Partial, Unfinished",2,None,1938,"Fenced Yard, Front Porch, Garden Area, Irrigation System, Patio, Prof Landscaping",3349,0,12/31/2013,60
300,GORDON,Atlanta,Georgia,Dekalb,30307,804500,Lin,Inman,Grady,LAKE CLAIRE,2 Stories,4,2,0,1,1,0,0,0,0,"Driveway, Kitchen Level","Crawl Space, Exterior Entry",4,None,1913,"Fenced Yard, Front Porch, Garden Area, Patio, Prof Landscaping",0,,3/5/2014,91
445,Harold,Atlanta,Georgia,Dekalb,30307,800000,Lin,Inman,Grady,Candler Park Lake Claire,2 Or + Stories,3,2,0,1,1,1,1,1,0,"2 Car Garage, Auto Garage Door, Drive Under Main Level, Driveway","Bath, Daylight, Exterior Entry, Finished, Interior Entry",2,None,2006,"Fenced Yard, Front Porch, Garden Area, Patio, Prof Landscaping",3117,0,6/15/2012,9
652,Clifton,Atlanta,Georgia,Dekalb,30307,799000,Lin,Inman,Grady,Paridiso Druid Hills,,3,3,0,0,0,1,1,1,0,"2 Car Garage, Attached, Drive Under Main Level, Side/Rear Entry","Bath, Daylight, Exterior Entry, Finished, Full, Interior Entry",1,,1997,"1-2 Step Entry, Fenced Yard, Gas Grill, Irrigation System, Outdoor Fireplace, Patio, Prof Landscaping",3086,230,7/31/2014,86
505,Claire,Atlanta,Georgia,Dekalb,30307,799000,Lin,Inman,Grady,Lake Claire,2 Stories,4,3,0,1,1,0,0,0,0,"Driveway, Kitchen Level, Parking Pad, Side/Rear Entry",Crawl Space,1,None,2014,"Front Porch, Prof Landscaping",3209,0,11/3/2014,110
1369,Euclid,Atlanta,Georgia,Dekalb,30307,799000,Lin,Inman,Grady,Candler Park,2 Stories,4,2,0,2,2,0,0,0,0,"2 Car Garage, Attached, Auto Garage Door, Kitchen Level","Bath/Stubbed, Driveway Access, Exterior Entry, Full, Interior Entry, Unfinished",1,None,2004,"Deck, Fenced Yard, Front Porch, Garden Area, Wrap-Around Porch",3920,0,10/30/2015,19
337,Candler Park,Atlanta,Georgia,Dekalb,30307,792500,Lin,Inman,Grady,Candler Park,2 Or + Stories,3,2,0,0,0,1,2,1,0,Driveway,Slab/None,4,None,2002,"Deck, Fenced Yard, Front Porch, Patio, Prof Landscaping, Wrap-Around Porch",2800,0,5/2/2016,12
1832,New York,Atlanta,Georgia,Dekalb,30307,785000,Lin,Inman,Grady,Lake Claire,2 Stories,4,3,0,0,0,1,1,1,0,"3 Car Garage, Attached","Driveway Access, Exterior Entry, Finished, Full, Interior Entry, Unfinished",2,None,2006,"Deck, Front Porch",0,,3/31/2014,17
359,Elmira,Atlanta,Georgia,Dekalb,30307,785000,Lin,Inman,Grady,Candler Park,2 Or + Stories,4,2,0,0,1,0,1,1,0,"Driveway, Kitchen Level","Bath, Daylight, Exterior Entry, Finished, Interior Entry",2,None,1925,"1-2 Step Entry, Deck, Fenced Yard, Front Porch, Garden Area",3758,0,7/13/2015,22
244,Hampton,Atlanta,Georgia,Dekalb,30307,780000,Lin,Inman,Grady,Lake Claire,2 Or + Stories,4,3,0,0,0,1,1,1,0,"2 Car Garage, Attached, Auto Garage Door, Side/Rear Entry","Bath, Daylight, Driveway Access, Exterior Entry, Finished, Full",1,None,2004,"Deck, Fenced Yard, Front Porch, Prof Landscaping",3824,0,10/16/2015,19
298,Sutherland,Atlanta,Georgia,Dekalb,30307,763908,Lin,Inman,Grady,Sutherland Place,2 Or + Stories,4,3,0,0,0,0,2,1,0,"2 Car Garage, Auto Garage Door, Detached, Parking Pad","Bath/Stubbed, Daylight, Driveway Access, Exterior Entry, Full, Interior Entry",0,None,2003,"Carriage House, Deck, Front Porch, Garden Area, Guest House, Patio, Prof Landscaping",5352,0,8/1/2014,63
334,Sutherland,Atlanta,Georgia,Dekalb,30307,760000,Lin,Inman,Grady,Lake Claire Sutherland Place,2 Or + Stories,2,2,0,2,1,0,1,1,0,"3 Car Garage, Attached, Auto Garage Door, Drive Under Main Level","Bath, Daylight, Driveway Access, Finished, Full, Interior Entry",2,Gunite,2003,"Deck, Fenced Yard, Front Porch, Irrigation System, Prof Landscaping",4100,0,5/17/2013,16
254,Hampton Terrace,Atlanta,Georgia,Dekalb,30307,760000,Lin,Inman,Grady,Lake Claire,2 Stories,4,3,0,0,0,1,2,1,0,"2 Car Garage, Driveway","Daylight, Driveway Access, Finished, Full, Interior Entry",1,None,2005,"Deck, Fenced Yard, Front Porch, Irrigation System",0,0,9/12/2013,181
281,Mathews,Atlanta,Georgia,Dekalb,30307,760000,Lin,Inman,Grady,Lake Claire,2 Stories,3,3,0,1,1,0,0,0,0,2 Car Garage,Crawl Space,1,None,2014,"Deck, Front Porch",2954,0,2/27/2014,1
1203,Druid,Atlanta,Georgia,Dekalb,30307,756500,Lin,Inman,Grady,Candler Park,2 Or + Stories,3,2,0,0,0,1,1,1,0,"2 Car Garage, Auto Garage Door, Driveway, Kitchen Level","Bath, Finished, Full, Interior Entry",1,None,2000,"Deck, Fenced Yard, Front Porch, Garden Area, Prof Landscaping",3927,0,12/5/2014,111
1828,Almeta,Atlanta,Georgia,Dekalb,30307,751000,Lin,Inman,Grady,Lake Claire Candler Park,2 Stories,3,3,0,1,1,0,0,0,0,"2 Car Garage, Detached","Bath/Stubbed, Full, Unfinished",1,None,2007,"Fenced Yard, Front Porch, Garden Area, Patio, Prof Landscaping",2806,0,6/26/2013,4
336,Candler Park,Atlanta,Georgia,Dekalb,30307,750000,Lin,Inman,Grady,Candler Park,2 Stories,3,2,0,1,0,1,0,0,0,Driveway,"Exterior Entry, Full, Unfinished",2,None,2010,"Deck, Fenced Yard, Front Porch",2772,0,4/24/2015,11
376,Mell,Atlanta,Georgia,Dekalb,30307,745000,Lin,Inman,Grady,Candler Park,2 Stories,3,2,0,1,1,0,0,0,0,"1-2 Step Entry, Driveway, Side/Rear Entry","Crawl Space, Exterior Entry",2,None,1920,"Deck, Front Porch, Prof Landscaping",3088,0,2/4/2015,25
1194,NORTH,Atlanta,Georgia,Dekalb,30307,743500,Lin,Inman,Grady,CANDLER PARK,2 Or + Stories,3,2,0,0,0,1,2,1,0,"2 Car Garage, Attached, Auto Garage Door, Drive Under Main Level","Bath, Finished, Full",2,None,2003,"Deck, Fenced Yard, Front Porch, Irrigation System, Patio, Prof Landscaping",3376,0,7/18/2013,257
331,Gordon,Atlanta,Georgia,Dekalb,30307,740000,Lin,Inman,Grady,Lake Claire,2 Stories,4,3,0,1,1,0,1,1,0,Parking Pad,"Bath, Daylight, Exterior Entry, Finished, Full, Interior Entry",1,None,1948,"Deck, Garden Area, Gas Grill, Patio, Prof Landscaping",4250,0,1/10/2014,86
429,Claire,Atlanta,Georgia,Dekalb,30307,740000,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,1,0,0,0,"2 Car Garage, 3 Car Garage, Attached, Side/Rear Entry","Crawl Space, Interior Entry",2,None,1938,"Fenced Yard, Garden Area, Irrigation System, Patio, Prof Landscaping",3349,0,7/10/2015,445
294,Elmira,Atlanta,Georgia,Dekalb,30307,738000,Lin,Inman,Grady,Candler Park,2 Stories,2,2,0,2,1,0,0,0,0,"Driveway, Kitchen Level, Parking Pad, Side/Rear Entry",Crawl Space,3,None,1910,"Fenced Yard, Front Porch, Garden Area",3423,0,10/30/2013,4
1230,Mclendon,Atlanta,Georgia,Dekalb,30307,733000,Lin,Inman,Grady,Candler Park,1 & 1/2 Stories,2,2,0,2,2,0,0,0,0,"2 Car Garage, Detached","Exterior Entry, Partial, Unfinished",2,None,1920,"1-2 Step Entry, Deck, Fenced Yard, Front Porch",3000,0,7/11/2014,17
570,Candler,Atlanta,Georgia,Dekalb,30307,732000,Lin,Inman,Grady,Candler Park,2 Stories,3,1,0,1,1,0,0,0,0,Parking Pad,"Crawl Space, Exterior Entry, Interior Entry, Partial",4,None,1898,"Fenced Yard, Front Porch, Other, Wrap-Around Porch",2538,0,5/25/2016,14
1260,Mclendon,Atlanta,Georgia,Dekalb,30307,730000,Lin,Inman,Grady,Candler Park,2 Stories,4,2,0,0,0,1,0,0,0,"Driveway, Parking Pad","Daylight, Interior Entry, Unfinished",4,None,1910,"Deck, Fenced Yard, Front Porch, Out-Buildings",3022,0,10/3/2014,14
273,Mathews,Atlanta,Georgia,Dekalb,30307,725000,Lin,Inman,Grady,Lake Claire,2 Stories,3,3,0,1,1,0,0,0,0,"2 Car Garage, Detached",Crawl Space,1,None,2013,"Deck, Front Porch",2989,0,4/29/2013,159
441,OAKDALE,Atlanta,Georgia,Dekalb,30307,722000,Lin,Inman,Grady,CANDLER PARK,2 Stories,4,3,0,1,0,1,1,1,0,"2 Car Garage, Detached, Driveway",Crawl Space,1,None,2012,"Carriage House, Deck, Fenced Yard, Front Porch, Garden Area, Patio, Prof Landscaping",3300,0,5/3/2013,216
286,Sutherland,Atlanta,Georgia,Dekalb,30307,721400,Lin,Inman,Grady,Lake Claire,2 Stories,4,3,0,0,0,1,0,0,0,"2 Car Garage, Attached, Drive Under Main Level, Side/Rear Entry","Bath/Stubbed, Daylight, Exterior Entry, Full, Interior Entry, Unfinished",1,None,2003,"Deck, Fenced Yard, Front Porch, Garden Area, Prof Landscaping",3446,850,8/1/2013,6
291,Ferguson,Atlanta,Georgia,Dekalb,30307,720000,Lin,Inman,Grady,Candler Park,2 Stories,3,2,0,1,1,0,0,0,0,"2 Car Garage, Auto Garage Door, Detached, Kitchen Level",Crawl Space,1,None,2010,"Deck, Fenced Yard, Front Porch, Garden Area, Irrigation System, Out-Buildings, Patio, Prof Landscaping",2800,0,8/16/2013,6
1511,Iverson,Atlanta,Georgia,Dekalb,30307,720000,Lin,Inman,Grady,CANDLER PARK,2 Stories,3,2,0,1,1,1,0,0,0,"2 Car Garage, Driveway",Crawl Space,1,None,2015,"Deck, Fenced Yard, Front Porch",2739,0,2/12/2016,3
445,Ridgewood,Atlanta,Georgia,Dekalb,30307,715000,Lin,Inman,Grady,Lake Claire,2 Stories,4,3,0,0,0,1,0,0,0,"2 Car Garage, Auto Garage Door, Driveway, Kitchen Level",Crawl Space,1,None,2013,"1-2 Step Entry, Front Porch, Garden Area, Prof Landscaping",2783,0,6/4/2013,104
1257,Euclid,Atlanta,Georgia,Dekalb,30307,713000,Lin,Inman,Grady,Candler Park,2 Or + Stories,1,1,0,3,2,0,0,0,1,"Driveway, Parking Pad",Crawl Space,3,None,1911,"Carriage House, Deck, Fenced Yard, Front Porch, Garden Area, Out-Buildings, Patio",3600,0,3/4/2014,143
1982,Mclendon,Atlanta,Georgia,Dekalb,30307,712500,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,0,1,1,0,"3 Car Garage, Attached, Auto Garage Door, Drive Under Main Level","Finished, Interior Entry, Partial",2,None,2002,"Deck, Fenced Yard, Irrigation System, Patio",3186,0,5/15/2015,28
1244,North,Atlanta,Georgia,Dekalb,30307,710000,Lin,Inman,Grady,CANDLER PARK,2 Or + Stories,3,2,0,0,0,1,2,1,0,"4 + Car Garage, Attached, Detached, Drive Under Main Level","Bath, Daylight, Exterior Entry, Finished, Full, Interior Entry",2,None,2000,"Fenced Yard, Front Porch, Out-Buildings, Prof Landscaping",3608,,4/30/2013,173
1993,Palifox,Atlanta,Georgia,Dekalb,30307,707500,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,0,0,0,0,"1 Car Garage, Driveway, Parking Pad, Side/Rear Entry",Crawl Space,2,None,1935,"Front Porch, Garden Area, Out-Buildings, Patio, Prof Landscaping",2485,0,2/20/2015,95
319,Elmira,Atlanta,Georgia,Dekalb,30307,700000,Lin,Inman,Grady,CANDLER PARK,2 Or + Stories,3,2,0,2,2,0,0,0,0,"Driveway, Parking Pad",Exterior Entry,5,None,1921,"Deck, Fenced Yard, Front Porch, Garden Area",4764,0,5/30/2013,13
243,Mathews,Atlanta,Georgia,Dekalb,30307,700000,Lin,Inman,Grady,Lake Claire,2 Stories,3,3,0,2,1,1,0,0,0,"Parking Pad, Side/Rear Entry",Crawl Space,0,None,2014,"Deck, Fenced Yard, Front Porch",2800,0,5/22/2015,61
561,Clifton,Atlanta,Georgia,Dekalb,30307,699900,Lin,Inman,Grady,Lake Claire /  Candler Park,2 Or + Stories,4,3,0,0,0,1,0,0,0,"2 Car Garage, Detached",Slab/None,1,None,2006,"Fenced Yard, Front Porch, Patio, Prof Landscaping",2968,0,6/26/2013,77
2071,Howard,Atlanta,Georgia,Dekalb,30307,697900,Lin,Inman,Grady,Lake Claire,2 Stories,4,2,0,1,1,0,0,0,0,"1 Car Garage, Detached",Slab/None,2,None,1940,"Front Porch, Patio",2762,0,4/22/2015,30
292,Sutherland,Atlanta,Georgia,Dekalb,30307,694500,Lin,Inman,Grady,SUTHERLAND PLACE,2 Or + Stories,2,2,0,1,1,0,2,1,0,"2 Car Garage, Auto Garage Door, Drive Under Main Level, Side/Rear Entry","Bath, Daylight, Exterior Entry, Finished, Full, Interior Entry",1,None,2003,"Deck, Fenced Yard, Front Porch, Invisible Fence, Irrigation System, Patio, Prof Landscaping, Satellite Dish",0,0,7/8/2013,29
1729,Adolphus,Atlanta,Georgia,Dekalb,30307,692349,Lin,Inman,Grady,Lake Claire Candler Park,2 Stories,4,3,0,0,0,1,0,0,0,"2 Car Garage, Auto Garage Door, Detached, Storage Room",Crawl Space,1,None,2012,"Deck, Fenced Yard, Front Porch, Garden Area, Prof Landscaping",2750,0,8/28/2012,283
444,Sutherland,Atlanta,Georgia,Dekalb,30307,689000,Lin,Inman,Grady,Sutherland Place,2 Stories,3,2,0,0,0,1,1,1,0,"2 Car Garage, Auto Garage Door, Drive Under Main Level","Bath, Daylight, Exterior Entry, Finished, Full, Interior Entry",2,None,2006,"Deck, Fenced Yard, Front Porch, Wrap-Around Porch",3048,750,12/9/2013,2
1233,Mclendon,Atlanta,Georgia,Dekalb,30307,684500,Lin,Inman,Grady,Candler Park,2 Stories,4,2,0,1,1,0,0,0,0,"1 Car Garage, Detached, Driveway, Side/Rear Entry",Crawl Space,6,None,1915,"Deck, Fenced Yard, Front Porch, Garden Area",3350,0,11/27/2012,68
390,Sutherland,Atlanta,Georgia,Dekalb,30307,682500,Lin,Inman,Grady,Sutherland Place,2 Stories,3,2,0,0,0,1,1,1,0,"2 Car Garage, Auto Garage Door, Drive Under Main Level, Side/Rear Entry","Bath, Daylight, Driveway Access, Exterior Entry, Finished, Interior Entry",1,None,2004,"Deck, Front Porch, Irrigation System, Patio, Prof Landscaping",3175,0,2/25/2015,6
440,Sterling,Atlanta,Georgia,Dekalb,30307,681640,Lin,Inman,Grady,Candler Park,2 Stories,4,3,0,1,1,0,0,0,0,"1-2 Step Entry, Driveway, Kitchen Level, Street","Interior Entry, Partial",1,"In Ground, Vinyl",1928,"Deck, Fenced Yard, Front Porch",3117,0,7/16/2015,128
2018,Mclendon,Atlanta,Georgia,Dekalb,30307,681000,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,0,0,1,0,0,0,"1 Car Garage, Attached, Drive Under Main Level","Crawl Space, Partial",1,None,2006,"Front Porch, Garden Area",0,0,6/30/2016,26
402,Lakeshore,Atlanta,Georgia,Dekalb,30307,670000,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,0,0,0,0,Driveway,"Interior Entry, Partial, Unfinished",1,None,1940,"1-2 Step Entry, Deck, Garden Area, Prof Landscaping",2255,0,7/19/2016,9
2092,Dekalb,Atlanta,Georgia,Dekalb,30307,665000,Lin,Inman,Grady,Lake Claire,1 Story,0,0,0,3,1,0,0,0,0,"Driveway, Kitchen Level, Parking Pad, Street",Crawl Space,0,None,1940,"Fenced Yard, Other",992,0,9/26/2014,42
1823,Indiana,Atlanta,Georgia,Dekalb,30307,660000,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,0,1,1,0,"2 Car Garage, Auto Garage Door, Drive Under Main Level, Side/Rear Entry","Bath, Finished",1,None,2012,"Deck, Front Porch, Prof Landscaping",3550,0,4/30/2012,152
